narration_id,participant_id,video_id,start_frame,stop_frame,event_start_frame,time_to_event_frames,time_to_event_sec,start_timestamp,stop_timestamp,event_start_timestamp,cross,cross_class,look,look_class,action,action_class,designated_class,intersection_class,signalized_class,crossing_point,crossing,exp_start_point
video_0001_0_1_3b_obs0,0_1_3b,video_0001,524,538,568,30,1.0,00:17.5,00:17.9,00:18.9,0.0,0,0.0,0,1.0,1,0.0,0.0,0.0,-1.0,-1.0,
video_0001_0_1_3b_obs1,0_1_3b,video_0001,514,528,568,40,1.3333333333333333,00:17.1,00:17.6,00:18.9,0.0,0,0.0,0,1.0,1,0.0,0.0,0.0,-1.0,-1.0,
video_0001_0_1_3b_obs2,0_1_3b,video_0001,504,518,568,50,1.6666666666666667,00:16.8,00:17.3,00:18.9,0.0,0,0.0,0,1.0,1,0.0,0.0,0.0,-1.0,-1.0,
video_0001_0_1_3b_obs3,0_1_3b,video_0001,494,508,568,60,2.0,00:16.5,00:16.9,00:18.9,0.0,0,0.0,0,1.0,1,0.0,0.0,0.0,-1.0,-1.0,
video_0001_0_1_3b_obs4,0_1_3b,video_0001,484,498,568,70,2.333333333333333,00:16.1,00:16.6,00:18.9,0.0,0,0.0,0,1.0,1,0.0,0.0,0.0,-1.0,-1.0,
video_0001_0_1_3b_obs5,0_1_3b,video_0001,474,488,568,80,2.6666666666666665,00:15.8,00:16.3,00:18.9,0.0,0,0.0,0,1.0,1,0.0,0.0,0.0,-1.0,-1.0,
video_0001_0_1_3b_obs6,0_1_3b,video_0001,464,478,568,90,3.0,00:15.5,00:15.9,00:18.9,0.0,0,0.0,0,1.0,1,0.0,0.0,0.0,-1.0,-1.0,
video_0001_0_1_2_obs0,0_1_2,video_0001,555,569,599,30,1.0,00:18.5,00:19.0,00:20.0,,0,,-1,,-1,,,,,,
video_0001_0_1_2_obs1,0_1_2,video_0001,545,559,599,40,1.3333333333333333,00:18.2,00:18.6,00:20.0,,0,,-1,,-1,,,,,,
video_0001_0_1_2_obs2,0_1_2,video_0001,535,549,599,50,1.6666666666666667,00:17.8,00:18.3,00:20.0,,0,,-1,,-1,,,,,,
video_0001_0_1_2_obs3,0_1_2,video_0001,525,539,599,60,2.0,00:17.5,00:18.0,00:20.0,,0,,-1,,-1,,,,,,
video_0001_0_1_2_obs4,0_1_2,video_0001,515,529,599,70,2.333333333333333,00:17.2,00:17.6,00:20.0,,0,,-1,,-1,,,,,,
video_0001_0_1_2_obs5,0_1_2,video_0001,505,519,599,80,2.6666666666666665,00:16.8,00:17.3,00:20.0,,0,,-1,,-1,,,,,,
video_0001_0_1_2_obs6,0_1_2,video_0001,495,509,599,90,3.0,00:16.5,00:17.0,00:20.0,,0,,-1,,-1,,,,,,
video_0001_0_1_2b_obs0,0_1_2b,video_0001,25,39,69,30,1.0,00:00.8,00:01.3,00:02.3,0.0,0,0.0,0,1.0,1,0.0,0.0,0.0,-1.0,-1.0,
video_0001_0_1_2b_obs1,0_1_2b,video_0001,15,29,69,40,1.3333333333333333,00:00.5,00:01.0,00:02.3,0.0,0,0.0,0,1.0,1,0.0,0.0,0.0,-1.0,-1.0,
video_0001_0_1_2b_obs2,0_1_2b,video_0001,5,19,69,50,1.6666666666666667,00:00.2,00:00.6,00:02.3,0.0,0,0.0,0,1.0,1,0.0,0.0,0.0,-1.0,-1.0,
video_0001_0_1_4_obs0,0_1_4,video_0001,555,569,599,30,1.0,00:18.5,00:19.0,00:20.0,,0,,-1,,-1,,,,,,
video_0001_0_1_4_obs1,0_1_4,video_0001,545,559,599,40,1.3333333333333333,00:18.2,00:18.6,00:20.0,,0,,-1,,-1,,,,,,
video_0001_0_1_4_obs2,0_1_4,video_0001,535,549,599,50,1.6666666666666667,00:17.8,00:18.3,00:20.0,,0,,-1,,-1,,,,,,
video_0001_0_1_4_obs3,0_1_4,video_0001,525,539,599,60,2.0,00:17.5,00:18.0,00:20.0,,0,,-1,,-1,,,,,,
video_0001_0_1_4_obs4,0_1_4,video_0001,515,529,599,70,2.333333333333333,00:17.2,00:17.6,00:20.0,,0,,-1,,-1,,,,,,
video_0001_0_1_4_obs5,0_1_4,video_0001,505,519,599,80,2.6666666666666665,00:16.8,00:17.3,00:20.0,,0,,-1,,-1,,,,,,
