video_id,frame,participant_id,x1,y1,x2,y2
set03/video_0001,1464,3_1_220,1120.8,728.6,1128.72,756.1
set03/video_0001,1465,3_1_220,1120.8,728.6,1128.72,756.1
set03/video_0001,1466,3_1_220,1121.23,729.35,1129.24,757.05
set03/video_0001,1467,3_1_220,1121.67,730.09,1129.75,757.99
set03/video_0001,1468,3_1_220,1122.1,730.84,1130.27,758.94
set03/video_0001,1469,3_1_220,1122.53,731.59,1130.79,759.89
set03/video_0001,1470,3_1_220,1122.97,732.33,1131.3,760.83
set03/video_0001,1471,3_1_220,1123.4,733.08,1131.82,761.78
set03/video_0001,1472,3_1_220,1124.57,733.12,1133.07,762.02
set03/video_0001,1473,3_1_220,1125.74,733.17,1134.33,762.27
set03/video_0001,1474,3_1_220,1126.91,733.21,1135.58,762.51
set03/video_0001,1475,3_1_220,1128.09,733.26,1136.84,762.76
set03/video_0001,1476,3_1_220,1129.26,733.3,1138.09,763.0
set03/video_0001,1477,3_1_220,1130.43,733.35,1139.35,763.25
set03/video_0001,1478,3_1_220,1131.6,733.39,1140.6,763.49
set03/video_0001,1479,3_1_220,1132.77,733.43,1141.85,763.73
set03/video_0001,1480,3_1_220,1133.94,733.48,1143.11,763.98
set03/video_0001,1481,3_1_220,1135.11,733.52,1144.36,764.22
set03/video_0001,1482,3_1_220,1136.29,733.57,1145.62,764.47
set03/video_0001,1483,3_1_220,1137.46,733.61,1146.87,764.71
set03/video_0001,1484,3_1_220,1138.63,733.66,1148.13,764.96
set03/video_0001,1485,3_1_220,1139.8,733.7,1149.38,765.2
set03/video_0001,1486,3_1_220,1140.98,733.95,1150.58,765.82
set03/video_0001,1487,3_1_220,1142.16,734.21,1151.78,766.45
set03/video_0001,1488,3_1_220,1143.34,734.46,1152.98,767.07
set03/video_0001,1489,3_1_220,1144.52,734.71,1154.18,767.69
set03/video_0001,1490,3_1_220,1145.7,734.97,1155.38,768.32
set03/video_0001,1491,3_1_220,1146.88,735.22,1156.58,768.94
set03/video_0001,1492,3_1_220,1148.69,735.06,1158.41,769.14
set03/video_0001,1493,3_1_220,1150.5,734.89,1160.24,769.35
set03/video_0001,1494,3_1_220,1152.31,734.73,1162.07,769.55
set03/video_0001,1495,3_1_220,1154.12,734.56,1163.9,769.76
set03/video_0001,1496,3_1_220,1155.93,734.39,1165.73,769.96
set03/video_0001,1497,3_1_220,1157.74,734.23,1167.56,770.17
set03/video_0001,1498,3_1_220,1159.55,734.07,1169.39,770.37
set03/video_0001,1499,3_1_220,1161.35,733.9,1171.22,770.57
set03/video_0001,1500,3_1_220,1163.16,733.74,1173.05,770.78
set03/video_0001,1501,3_1_220,1164.97,733.57,1174.88,770.98
set03/video_0001,1502,3_1_220,1166.78,733.4,1176.71,771.19
set03/video_0001,1503,3_1_220,1168.59,733.24,1178.54,771.39
set03/video_0001,1504,3_1_220,1170.4,733.07,1180.37,771.6
set03/video_0001,1505,3_1_220,1172.21,732.91,1182.2,771.8
set03/video_0001,1506,3_1_220,1174.61,732.55,1185.09,771.98
set03/video_0001,1507,3_1_220,1177.01,732.2,1187.99,772.17
set03/video_0001,1508,3_1_220,1179.41,731.84,1190.88,772.36
set03/video_0001,1509,3_1_220,1181.81,731.48,1193.78,772.54
set03/video_0001,1510,3_1_220,1184.21,731.13,1196.67,772.72
set03/video_0001,1511,3_1_220,1186.61,730.77,1199.56,772.91
set03/video_0001,1512,3_1_220,1189.01,730.41,1202.46,773.1
set03/video_0001,1513,3_1_220,1191.4,730.06,1205.35,773.28
set03/video_0001,1514,3_1_220,1193.8,729.7,1208.24,773.46
set03/video_0001,1515,3_1_220,1196.2,729.34,1211.14,773.65
set03/video_0001,1516,3_1_220,1198.6,728.98,1214.03,773.84
