narration_id,participant_id,video_id,start_frame,stop_frame,event_start_frame,time_to_event_frames,time_to_event_sec,start_timestamp,stop_timestamp,event_start_timestamp,cross,cross_class,look,look_class,action,action_class,intersection_class,signalized_class
set01/video_0001_1_1_1_obs0,1_1_1,set01/video_0001,1029,1043,1133,90,3.0,00:34.3,00:34.8,00:37.8,0,0,0,0,0,0,4,3
set01/video_0001_1_1_1_obs1,1_1_1,set01/video_0001,1039,1053,1133,80,2.6666666666666665,00:34.6,00:35.1,00:37.8,0,0,0,0,0,0,4,3
set01/video_0001_1_1_1_obs2,1_1_1,set01/video_0001,1049,1063,1133,70,2.333333333333333,00:35.0,00:35.4,00:37.8,0,0,0,0,0,0,4,3
set01/video_0001_1_1_1_obs3,1_1_1,set01/video_0001,1059,1073,1133,60,2.0,00:35.3,00:35.8,00:37.8,0,0,0,0,0,0,4,3
set01/video_0001_1_1_1_obs4,1_1_1,set01/video_0001,1069,1083,1133,50,1.6666666666666667,00:35.6,00:36.1,00:37.8,0,0,0,0,0,0,4,3
set01/video_0001_1_1_1_obs5,1_1_1,set01/video_0001,1079,1093,1133,40,1.3333333333333333,00:36.0,00:36.4,00:37.8,0,0,0,0,0,0,4,3
set01/video_0001_1_1_1_obs6,1_1_1,set01/video_0001,1089,1103,1133,30,1.0,00:36.3,00:36.8,00:37.8,0,0,0,0,0,0,4,3
set01/video_0001_1_1_2_obs0,1_1_2,set01/video_0001,1035,1049,1139,90,3.0,00:34.5,00:35.0,00:38.0,0,0,0,0,0,0,4,3
set01/video_0001_1_1_2_obs1,1_1_2,set01/video_0001,1045,1059,1139,80,2.6666666666666665,00:34.8,00:35.3,00:38.0,0,0,0,0,0,0,4,3
set01/video_0001_1_1_2_obs2,1_1_2,set01/video_0001,1055,1069,1139,70,2.333333333333333,00:35.2,00:35.6,00:38.0,0,0,0,0,0,0,4,3
set01/video_0001_1_1_2_obs3,1_1_2,set01/video_0001,1065,1079,1139,60,2.0,00:35.5,00:36.0,00:38.0,0,0,0,0,0,0,4,3
set01/video_0001_1_1_2_obs4,1_1_2,set01/video_0001,1075,1089,1139,50,1.6666666666666667,00:35.8,00:36.3,00:38.0,0,0,0,0,0,0,4,3
set01/video_0001_1_1_2_obs5,1_1_2,set01/video_0001,1085,1099,1139,40,1.3333333333333333,00:36.2,00:36.6,00:38.0,0,0,0,0,0,0,4,3
set01/video_0001_1_1_2_obs6,1_1_2,set01/video_0001,1095,1109,1139,30,1.0,00:36.5,00:37.0,00:38.0,0,0,0,0,0,0,4,3
set01/video_0001_1_1_3_obs0,1_1_3,set01/video_0001,1359,1373,1463,90,3.0,00:45.3,00:45.8,00:48.8,0,0,0,0,0,0,3,0
set01/video_0001_1_1_3_obs1,1_1_3,set01/video_0001,1369,1383,1463,80,2.6666666666666665,00:45.6,00:46.1,00:48.8,0,0,0,0,0,0,3,0
set01/video_0001_1_1_3_obs2,1_1_3,set01/video_0001,1379,1393,1463,70,2.333333333333333,00:46.0,00:46.4,00:48.8,0,0,0,0,0,0,3,0
set01/video_0001_1_1_3_obs3,1_1_3,set01/video_0001,1389,1403,1463,60,2.0,00:46.3,00:46.8,00:48.8,0,0,0,0,0,0,3,0
set01/video_0001_1_1_3_obs4,1_1_3,set01/video_0001,1399,1413,1463,50,1.6666666666666667,00:46.6,00:47.1,00:48.8,0,0,0,0,0,0,3,0
set01/video_0001_1_1_3_obs5,1_1_3,set01/video_0001,1409,1423,1463,40,1.3333333333333333,00:47.0,00:47.4,00:48.8,0,0,0,0,0,0,3,0
set01/video_0001_1_1_3_obs6,1_1_3,set01/video_0001,1419,1433,1463,30,1.0,00:47.3,00:47.8,00:48.8,0,0,0,0,0,0,3,0
set01/video_0001_1_1_4_obs0,1_1_4,set01/video_0001,1353,1367,1457,90,3.0,00:45.1,00:45.6,00:48.6,0,0,0,0,0,0,3,0
set01/video_0001_1_1_4_obs1,1_1_4,set01/video_0001,1363,1377,1457,80,2.6666666666666665,00:45.4,00:45.9,00:48.6,0,0,0,0,0,0,3,0
set01/video_0001_1_1_4_obs2,1_1_4,set01/video_0001,1373,1387,1457,70,2.333333333333333,00:45.8,00:46.2,00:48.6,0,0,0,0,0,0,3,0
set01/video_0001_1_1_4_obs3,1_1_4,set01/video_0001,1383,1397,1457,60,2.0,00:46.1,00:46.6,00:48.6,0,0,0,0,0,0,3,0
set01/video_0001_1_1_4_obs4,1_1_4,set01/video_0001,1393,1407,1457,50,1.6666666666666667,00:46.4,00:46.9,00:48.6,0,0,0,0,0,0,3,0
set01/video_0001_1_1_4_obs5,1_1_4,set01/video_0001,1403,1417,1457,40,1.3333333333333333,00:46.8,00:47.2,00:48.6,0,0,0,0,0,0,3,0
